,epsilon,distance_epsilon,mu,distance_mu,time,real_epsilon,real_mu,T,N,edge_per_t,ensemble_size,calibration_batches
245,0.32330000000000003,0.006699999999999984,0.11,0.08999999999999998,12.072465658187866,0.33,0.19999999999999998,100,100,4,1,200
246,0.21280000000000002,0.002799999999999997,0.87,0.19000000000000006,11.403311252593994,0.21000000000000002,0.6799999999999999,100,100,4,1,200
247,0.41490000000000005,0.035099999999999965,0.07,0.8499999999999999,12.025960683822632,0.45,0.9199999999999999,100,100,16,1,200
248,0.371,0.0010000000000000009,0.76,0.08000000000000007,11.69247817993164,0.37,0.6799999999999999,100,100,8,1,200
249,0.1908,0.020799999999999985,0.09,0.10999999999999999,12.752988815307617,0.17,0.19999999999999998,100,100,16,1,200
250,0.2485,0.0015000000000000013,0.31,0.36999999999999994,8.590723991394043,0.25,0.6799999999999999,100,100,1,1,200
251,0.014,0.036000000000000004,0.5700000000000001,0.13000000000000017,12.98551344871521,0.05,0.4399999999999999,100,100,16,1,200
252,0.4081,0.0019000000000000128,0.51,0.47000000000000003,9.239459753036499,0.41000000000000003,0.04,100,100,1,1,200
253,0.2882,0.0018000000000000238,0.21,0.14999999999999994,12.277857542037964,0.29000000000000004,0.35999999999999993,100,100,8,1,200
254,0.2293,0.019299999999999984,0.5,0.019999999999999907,11.337802171707153,0.21000000000000002,0.5199999999999999,100,100,8,1,200
